"year","mean","sd","n","se"
"1959",7.0887445166232,2.09468267122777,937,0.0684303000811893
"1960",7.18437971951824,2.18261210043089,937,0.0713028293234397
"1961",6.57470623722797,1.93020891247921,937,0.0630571765903417
"1962",6.98041847988902,2.07184011597713,937,0.0676840663285099
"1963",6.79354407366487,2.6191734877261,937,0.0855646681913581
"1964",7.44317141952949,2.39820639707423,937,0.0783459879926473
"1965",6.81537014333132,2.29940259976492,937,0.0751182086292585
"1966",5.88895885583006,1.86456541650127,937,0.0609126970518176
"1967",7.06422123771108,2.12372144470873,937,0.0693789554601576
"1968",5.98429960381665,2.36798945675233,937,0.0773588435806725
"1969",5.58613833216072,1.84858242199681,937,0.0603905553808338
"1970",7.34460544559611,2.97603294526039,937,0.097222758508002
"1971",6.90949656667674,2.18533637045797,937,0.0713918273459162
"1972",7.84230619053974,2.07902893192679,937,0.0679189147088497
"1973",7.17698413210897,1.73050131570964,937,0.0565330137836554
"1974",8.84087346955878,1.73884272898235,937,0.0568055158772627
"1975",8.80172689277234,2.19535765458561,937,0.0717192084282506
"1976",9.20275178234181,2.62070285183888,937,0.0856146303391377
"1977",5.84215275738896,3.02515470207278,937,0.0988274963546261
"1978",7.20398094625298,3.56028490805182,937,0.116309438168844
"1979",6.87641601162487,2.77184638428452,937,0.0905522743186544
"1980",6.46157089753018,2.31430915266547,937,0.0756051844858751
"1981",5.99285370716074,2.30126992102242,937,0.0751792113557115
"1982",6.64242494487965,2.49325520316307,937,0.0814510971398987
"1983",8.43608464830153,2.24485062958626,937,0.0733360734444776
"1984",7.57756780280771,2.27242904449711,937,0.0742370209884829
"1985",7.03714046600076,2.39699385528533,937,0.0783063759790401
"1986",7.88127109351693,2.69002195993764,937,0.087879186891648
"1987",7.06132710383816,2.46522159218321,937,0.0805352789885093
"1988",7.04383892267336,2.56686825067886,937,0.0838559305786762
"1989",7.12346427226694,2.16575055785532,937,0.070751986738008
"1990",8.50529354283187,2.2284870053175,937,0.0728014971411034
"1991",8.07993948031107,1.83343896126217,937,0.0598958400826299
"1992",8.47303360357165,2.58980499755907,937,0.0846052414377664
"1993",6.18510778059987,1.6186933264513,937,0.0528804059870108
"1994",6.35789742947733,2.06351692440596,937,0.0674121595119445
"1995",8.0075409571139,2.1815566556245,937,0.0712683494445481
"1996",6.00998831390816,2.25483958707793,937,0.0736623984616472
"1997",8.42995525566213,2.1034344476283,937,0.0687162081538334
"1998",7.14523896777287,1.27350763015457,937,0.0416036808267869
"1999",8.12968034838486,2.19631646193975,937,0.0717505312991872
"2000",7.8714622686825,1.86529915940159,937,0.0609366673875356
"2001",7.07569699189001,2.0062140459249,937,0.0655401560701648
"2002",9.64766612727894,1.9364407605697,937,0.0632607621934261
"2003",6.59881513238414,1.72255470332291,937,0.0562734092728039
"2004",6.02831294021783,1.47328199172573,937,0.0481300247444695
"2005",6.13669581667138,1.80272760017185,937,0.0588925436481964
"2006",8.89374757999052,2.07133556960087,937,0.067667583516862
"2007",7.91610226270139,1.85120410333756,937,0.0604762019770122
"2008",9.04655084097941,2.29211808753597,937,0.0748802339877441
"2009",7.75034409589872,2.45082138383913,937,0.0800648446875278
"2010",6.28407438531559,1.70792538523796,937,0.0557954902828361
"2011",7.07469660586998,2.15508055051482,937,0.0704034127920792
"2012",10.0517694394856,1.41353249846255,937,0.04617809388169
"2013",7.82357517270654,1.88141850458766,937,0.061463263441127
"2014",7.60381515576696,2.12736120957468,937,0.0694978613953729
"2015",6.81299145843663,2.35620422684431,937,0.0769738369015181
"2016",9.14453613075307,2.14309006899317,937,0.0700117008349819
"2017",8.47785869023645,1.64665961209949,937,0.0537940247156844
"2018",7.57834985427169,1.87937076652015,937,0.0613963667544009
"2019",7.37480638923877,2.27709071605563,937,0.0743893111601691
"2020",9.18180078659907,1.78804106579584,937,0.0584127554834744
"2021",8.18887428037434,2.1690480166807,937,0.0708597100223155
"2022",8.67614699089366,2.48620177065778,937,0.0812206715439029
"1959",5.9669368151087,1.95330790324042,753,0.0711824971106127
"1960",6.44407089954978,2.09362025358399,753,0.0762957634094615
"1961",5.85387865408991,2.2269764802143,753,0.0811555344681085
"1962",6.25160578906265,2.3398797121699,753,0.0852699569660291
"1963",6.21481441651227,2.52908547177656,753,0.0921649981493313
"1964",6.07774056610072,1.8308327623118,753,0.0667192548584256
"1965",5.60822802327324,2.51267986327016,753,0.0915671445399913
"1966",5.41229927156792,1.91041009206561,753,0.0696192139667021
"1967",6.3202853580841,2.48032230724503,753,0.0903879696467526
"1968",5.41349738019792,2.78912820275077,753,0.101641482074625
"1969",5.18857560306409,1.9863001636366,753,0.0723848019169503
"1970",6.293502813032,2.45327784195112,753,0.0894024145433057
"1971",5.76530797331111,2.0251292946384,753,0.0737998141128043
"1972",7.17636615491531,2.41376472737714,753,0.0879624766004306
"1973",6.39058893484762,1.80898272470316,753,0.0659229952229817
"1974",7.76363246948761,1.8910620751932,753,0.0689141330356151
"1975",7.2667129283531,2.01889746642665,753,0.0735727136679946
"1976",7.78295307211491,2.84742347281585,753,0.1037658798135
"1977",4.91080312864886,2.66809250670728,753,0.0972306961101576
